ClusterSize,Phi_file,Phi_calc,AbsDifference,Mismatch
1,1.0,1.0,0.0,False
2,0.6,0.6,0.0,False
3,0.4,0.4,0.0,False
4,0.411765,0.4117647058823529,2.9411764707054644e-07,False
5,0.4,0.4,0.0,False
6,0.3,0.3,0.0,False
7,0.227273,0.22727272727272727,2.727272727376384e-07,False
8,0.142857,0.14285714285714285,1.4285714283746032e-07,False
9,0.114754,0.5304347826086957,0.4156807826086957,True
10,0.111111,0.5213675213675214,0.4102565213675214,True
11,0.134328,0.5206611570247934,0.3863331570247934,True
12,0.126761,0.504,0.377239,True
13,0.156627,0.48905109489051096,0.33242409489051095,True
14,0.142857,0.14285714285714285,1.4285714283746032e-07,False
15,0.15942,0.15942028985507245,2.8985507244394526e-07,False
16,0.157143,0.15714285714285714,1.428571428652159e-07,False
17,0.123675,0.12367491166077739,8.833922260365057e-08,False
18,0.10274,0.10273972602739725,2.7397260274342194e-07,False
19,0.085714,0.08571428571428572,2.85714285716554e-07,False
20,0.097902,0.0979020979020979,9.790209790083715e-08,False
21,0.130435,0.13043478260869565,2.1739130434683673e-07,False
22,0.123506,0.12350597609561753,2.3904382473460828e-08,False
23,0.09405,0.09404990403071017,9.59692898205855e-08,False
24,0.069159,0.0691588785046729,1.2149532710448163e-07,False
25,0.04936,0.04936014625228519,1.4625228519221656e-07,False
26,0.154472,0.15447154471544716,4.5528455283605496e-07,False
27,0.144,0.144,0.0,False
28,0.129032,0.12903225806451613,2.580645161176509e-07,False
29,0.12766,0.1276595744680851,4.255319148993575e-07,False
30,0.121053,0.12105263157894737,3.684210526239129e-07,False
31,0.119792,0.11979166666666667,3.3333333332441484e-07,False
32,0.119171,0.11917098445595854,1.5544041456760915e-08,False
33,0.118557,0.11855670103092783,2.989690721655336e-07,False
34,0.117949,0.11794871794871795,2.820512820522758e-07,False
35,0.099437,0.09943714821763602,1.482176360256826e-07,False
36,0.085873,0.08587257617728532,4.238227146874385e-07,False
37,0.075799,0.07579908675799087,8.67579908608862e-08,False
38,0.066427,0.06642728904847396,2.8904847396149513e-07,False
39,0.069643,0.06964285714285715,1.428571428513381e-07,False
40,0.076106,0.07610619469026549,1.9469026549256974e-07,False
41,0.089023,0.08902333621434745,3.3621434744612877e-07,False
42,0.10513,0.10513036164844407,3.61648444066609e-07,False
43,0.110184,0.11018363939899833,3.606010016699024e-07,False
44,0.093988,0.09398814563928874,1.456392887400071e-07,False
45,0.094595,0.0945945945945946,4.054054053986844e-07,False
46,0.095159,0.09515859766277128,4.02337228713745e-07,False
47,0.092562,0.09256198347107437,1.652892563097641e-08,False
48,0.088525,0.08852459016393442,4.098360655846456e-07,False
49,0.083672,0.08367181153533712,1.884646628758091e-07,False
50,0.081386,0.08138597904915391,2.0950846085776575e-08,False
51,0.083467,0.08346709470304976,9.470304976333388e-08,False
52,0.08453,0.08452950558213716,4.944178628313312e-07,False
53,0.090047,0.09004739336492891,3.933649289078467e-07,False
54,0.091195,0.09119496855345911,3.144654088516052e-08,False
55,0.129062,0.12906220984215414,2.0984215412522822e-07,False
56,0.131238,0.13123844731977818,4.4731977819068014e-07,False
57,0.138408,0.1384083044982699,3.0449826990408546e-07,False
58,0.128814,0.1288135593220339,4.4067796611813037e-07,False
59,0.122689,0.1226890756302521,7.563025208878749e-08,False
60,0.122278,0.12227805695142378,5.6951423785256416e-08,False
61,0.12,0.12,0.0,False
62,0.119601,0.11960132890365449,3.289036544923407e-07,False
63,0.126023,0.1260229132569558,8.674304419198364e-08,False
64,0.12987,0.12987012987012986,1.2987012984466695e-07,False
65,0.12945,0.12944983818770225,1.6181229775535932e-07,False
66,0.122945,0.12294543063773833,4.3063773833007524e-07,False
67,0.109456,0.1094559585492228,4.145077719952539e-08,False
68,0.099936,0.09993593850096093,6.14990390696013e-08,False
69,0.090622,0.09062203978528575,3.97852857603187e-08,False
70,0.085266,0.08526645768025079,4.5768025079551133e-07,False
71,0.082838,0.08283838699593624,3.869959362412523e-07,False
72,0.079701,0.07970112079701121,1.2079701121325837e-07,False
73,0.077305,0.0773051847252406,1.8472524060397788e-07,False
74,0.080332,0.08033240997229917,4.099722991646182e-07,False
75,0.09216,0.0921603830041891,3.8300418910008904e-07,False
76,0.094952,0.1008955223880597,0.005943522388059702,True
77,0.099814,0.10810810810810811,0.008294108108108114,True
78,0.096497,0.10475030450669914,0.008253304506699144,True
79,0.096933,0.10516717325227963,0.008234173252279625,True
80,0.097919,0.10612492419648271,0.008205924196482708,True
81,0.098901,0.10707803992740472,0.00817703992740472,True
82,0.100304,0.10843373493975904,0.008129734939759034,True
83,0.101818,0.10990990990990991,0.008091909909909906,True
84,0.103323,0.11137724550898204,0.008054245508982039,True
85,0.104819,0.11283582089552238,0.008016820895522386,True
86,0.106306,0.11428571428571428,0.007979714285714284,True
87,0.107784,0.11572700296735905,0.007943002967359045,True
88,0.109394,0.11726576311137302,0.007871763111373012,True
89,0.110848,0.11868390129259694,0.007835901292596939,True
90,0.112941,0.1206997084548105,0.007758708454810498,True
91,0.115654,0.123335263462652,0.007681263462651994,True
92,0.11851,0.1259093452714046,0.007399345271404595,True
93,0.120719,0.12806236080178174,0.0073433608017817315,True
94,0.124794,0.13195201744820065,0.007158017448200646,True
95,0.1284,0.13545601726929304,0.007056017269293058,True
96,0.139168,0.13916786226685796,1.377331420304717e-07,False
97,0.136602,0.13660161827701095,3.8172298905125857e-07,False
98,0.135932,0.1359315589353612,4.4106463878423874e-07,False
99,0.135289,0.13528855250709557,4.474929044262499e-07,False
100,0.137273,0.13727315030246626,1.503024662508068e-07,False
101,0.137237,0.1372369624885636,3.751143640151611e-08,False
102,0.138211,0.13821138211382114,3.821138211401731e-07,False
103,0.130847,0.13084665482534044,3.4517465954952975e-07,False
104,0.124489,0.1244886031560491,3.9684395090888724e-07,False
105,0.121071,0.1210710128055879,1.2805587895625692e-08,False
106,0.121669,0.12166859791425261,4.020857473918671e-07,False
107,0.117914,0.11791383219954649,1.6780045351827422e-07,False
108,0.11778,0.11778029445073612,2.9445073612688333e-07,False
109,0.118012,0.11801242236024845,4.2236024844211073e-07,False
110,0.119682,0.11968190854870775,9.145129224730209e-08,False
111,0.111461,0.1114612051988972,2.051988971935037e-07,False
112,0.111198,0.1111984282907662,4.282907661995461e-07,False
113,0.106834,0.10683424980361352,2.498036135167858e-07,False
114,0.105469,0.10546875,2.4999999999331113e-07,False
115,0.103341,0.10334110334110334,1.0334110334131452e-07,False
116,0.098689,0.09868928296067848,2.8296067848543327e-07,False
117,0.096427,0.09642719938532462,1.9938532462571157e-07,False
118,0.09181,0.09180952380952381,4.7619047618963073e-07,False
119,0.089598,0.08959757023538345,4.2976461654686826e-07,False
120,0.087812,0.08781226343679031,2.634367903125989e-07,False
121,0.085154,0.08515448379804069,4.837980406985354e-07,False
122,0.084962,0.0849624060150376,4.060150376045124e-07,False
123,0.083744,0.08374384236453201,1.576354679844183e-07,False
124,0.082617,0.08261682242990655,1.775700934486535e-07,False
125,0.08237,0.08237048080506895,4.80805068953094e-07,False
126,0.080778,0.08077786088257292,1.3911742707817254e-07,False
127,0.081,0.08100037327360955,3.732736095496403e-07,False
128,0.080519,0.08051948051948052,4.805194805251878e-07,False
129,0.078918,0.07891811782141533,1.1782141533245305e-07,False
130,0.078743,0.07874306839186691,6.839186691975918e-08,False
131,0.078287,0.07828655834564253,4.4165435746090775e-07,False
132,0.077716,0.07771639042357274,3.9042357274921e-07,False
133,0.077602,0.0776020595807282,5.9580728198338484e-08,False
134,0.077827,0.07782672540381791,2.7459618208436343e-07,False
135,0.077656,0.07765567765567766,3.2234432234545807e-07,False
136,0.077822,0.07782243332115454,4.3332115454153275e-07,False
137,0.077766,0.07776560788608981,3.921139101886739e-07,False
138,0.078045,0.07804522246535375,2.2246535374970122e-07,False
139,0.07821,0.07821025827573663,2.5827573663095293e-07,False
140,0.078431,0.0784313725490196,3.725490196060388e-07,False
141,0.079434,0.0794341675734494,1.6757344939444252e-07,False
142,0.079728,0.07972828030032178,2.8030032178660846e-07,False
143,0.080214,0.08021390374331551,9.625668448420832e-08,False
144,0.079759,0.07975895072669266,4.9273307337061034e-08,False
145,0.079702,0.07970244420828905,4.442082890548926e-07,False
146,0.080565,0.08056537102473499,3.7102473499084354e-07,False
147,0.080833,0.08083303918108013,3.9181080130346047e-08,False
148,0.080395,0.08039492242595205,7.757404794916933e-08,False
149,0.081267,0.081267217630854,2.176308539908467e-07,False
150,0.081465,0.08146453089244851,4.6910755148454886e-07,False
151,0.080933,0.08093278463648834,2.1536351166306922e-07,False
152,0.080896,0.08089579524680073,2.0475319927049096e-07,False
153,0.080182,0.08018223234624146,2.3234624145496152e-07,False
154,0.079473,0.07947320617620345,2.061762034433201e-07,False
155,0.079358,0.07935790187655438,9.812344561876962e-08,False
156,0.078971,0.078971119133574,1.1913357400583635e-07,False
157,0.079279,0.07927927927927927,2.792792792721821e-07,False
